------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format dd/MM/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F25160319
Start Time 15:43:00
Start Date 06/04/2021
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:59:38
Download Date 06/04/2021
Current Memory Address: 0
Current Battery Voltage: 4.13     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.262,-0.688,0.063
0.25,-0.727,0.039
0.254,-0.816,0.191
0.258,-0.891,0.367
0.281,-0.914,0.344
0.316,-0.922,0.23
0.32,-0.891,0.203
0.332,-0.926,0.109
0.363,-1.023,0.168
0.418,-0.996,0.387
0.152,-0.973,0.348
0.281,-0.59,0.082
0.582,-0.563,0.941
0.332,-1.07,0.789
0.152,-1.16,0.367
0.336,-0.891,0.449
0.406,-0.805,0.586
0.32,-0.883,0.453
0.207,-0.824,0.492
0.078,-0.758,0.582
0.027,-0.715,0.746
-0.09,-0.738,0.844
-0.137,-0.895,0.797
-0.051,-0.832,0.559
-0.082,-0.781,0.617
-0.129,-0.813,0.715
-0.137,-0.813,0.746
0,-0.824,0.688
0.313,-0.695,0.492
0.434,-0.594,0.371
0.449,-0.652,0.191
0.5,-0.469,-0.719
0.395,-0.059,-1.762
0.445,-0.723,0.359
0.352,-1.02,0.746
0.316,-1.5,1.629
0.133,-1.262,1.059
0.188,-0.871,0.512
0.273,-0.766,0.633
0.359,-0.742,0.777
0.27,-0.742,0.691
0.188,-0.727,0.594
0.184,-0.754,0.688
0.145,-0.863,0.738
0.066,-1.094,0.738
-0.789,-1.828,1.035
-1.176,-1.387,0.844
1.34,-0.09,0.387
0.727,-0.27,0.32
0.309,-0.527,0.465
0.16,-0.734,0.645
0.113,-0.773,0.68
0.078,-0.754,0.645
0.078,-0.789,0.656
0.07,-0.859,0.723
0.113,-1.008,0.813
0.168,-0.898,0.926
0.195,-0.965,0.746
0.168,-0.824,0.953
0.188,-0.711,0.645
0.016,-0.852,0.465
0.051,-0.895,0.344
0.059,-0.871,0.254
0.063,-0.922,0.184
0.027,-0.977,0.324
-0.035,-1.02,0.465
-0.016,-0.77,0.711
0.09,-0.621,0.484
0.031,-0.699,0.508
-0.031,-0.809,0.629
0.02,-0.711,0.664
-0.074,-0.852,0.746
-0.098,-0.934,0.75
-0.059,-0.785,0.691
-0.113,-0.797,0.816
-0.172,-0.938,1
-0.227,-1.004,1.078
-0.395,-1.176,0.746
-0.199,-0.945,0.59
-0.203,-0.848,0.711
-0.219,-0.734,0.742
-0.164,-0.664,0.813
-0.008,-0.855,0.703
-0.145,-1.051,0.469
-0.238,-0.859,0.426
-0.156,-0.781,0.465
-0.16,-0.84,-0.313
-0.078,-1.117,0.781
-0.047,-0.844,0.641
-0.047,-0.773,0.66
-0.043,-0.75,0.695
-0.02,-0.738,0.703
0,-0.727,0.688
-0.008,-0.73,0.676
-0.027,-0.773,0.715
-0.168,-0.875,0.758
-0.234,-1.027,0.871
-0.242,-1.082,0.902
-0.207,-0.984,0.773
-0.168,-0.898,0.637
-0.125,-0.836,0.602
-0.059,-0.832,0.621
0.02,-0.793,0.637
0.113,-0.723,0.641
0.148,-0.691,0.648
0.164,-0.641,0.629
0.137,-0.594,0.613
-0.027,-0.652,0.633
0.059,-0.648,0.723
0.07,-0.648,0.773
0.02,-0.711,0.789
0.035,-0.734,0.797
0.063,-0.734,0.828
0.066,-0.742,0.836
0.008,-0.754,0.82
-0.012,-0.754,0.824
-0.055,-0.781,0.855
-0.055,-0.75,0.848
-0.063,-0.754,0.91
-0.051,-0.727,0.953
-0.043,-0.688,1.027
-0.027,-0.637,1.059
0.031,-0.59,1.109
0.031,-0.594,1.074
0.039,-0.59,0.969
0.043,-0.555,0.914
0.023,-0.535,0.957
-0.012,-0.535,0.965
-0.047,-0.535,0.926
-0.074,-0.5,0.898
-0.07,-0.473,0.906
-0.063,-0.449,0.941
-0.066,-0.43,0.969
-0.078,-0.422,0.957
-0.074,-0.414,0.961
-0.063,-0.418,0.969
-0.066,-0.43,0.977
-0.078,-0.438,0.996
-0.098,-0.434,1.008
-0.105,-0.449,1.047
-0.113,-0.449,1.078
-0.125,-0.453,1.105
-0.117,-0.445,1.109
-0.074,-0.387,1.066
-0.059,-0.336,1.016
-0.066,-0.324,0.98
-0.07,-0.324,0.957
-0.047,-0.324,0.957
-0.027,-0.336,1.004
0,-0.332,1.02
0.016,-0.336,0.977
0.051,-0.352,0.949
0.039,-0.375,0.957
0.031,-0.375,0.98
0,-0.496,1.035
-0.109,-0.348,0.891
-0.156,-0.32,0.762
-0.102,-0.305,0.777
-0.043,-0.328,0.945
-0.047,-0.313,1.082
-0.074,-0.289,1.02
-0.109,-0.301,0.898
-0.133,-0.309,0.898
-0.145,-0.27,1.016
-0.063,-0.262,0.977
-0.012,-0.25,0.988
-0.043,-0.191,1.008
0.059,-0.199,1.02
0.051,-0.281,1.055
-0.055,-0.238,1.047
-0.094,-0.227,1.051
-0.09,-0.188,1.02
-0.102,-0.199,0.965
-0.113,-0.223,0.965
-0.129,-0.242,0.961
-0.156,-0.285,0.953
-0.168,-0.309,0.965
-0.168,-0.32,0.977
-0.176,-0.344,0.969
-0.184,-0.34,0.98
-0.215,-0.336,0.996
-0.227,-0.363,0.984
-0.215,-0.367,0.996
-0.191,-0.344,1.031
-0.18,-0.328,1.023
-0.168,-0.297,1
-0.16,-0.289,0.988
-0.156,-0.293,0.984
-0.152,-0.289,0.992
-0.152,-0.281,1.051
-0.164,-0.305,1.074
-0.156,-0.324,1
-0.168,-0.309,1.066
-0.164,-0.32,1.063
-0.156,-0.313,1.023
-0.152,-0.309,0.996
-0.152,-0.301,0.996
-0.164,-0.289,1.008
-0.184,-0.277,0.992
-0.188,-0.277,0.98
-0.191,-0.266,0.977
-0.184,-0.242,0.992
-0.203,-0.27,1.004
-0.203,-0.297,1.035
-0.199,-0.324,1.078
-0.188,-0.34,1.098
-0.172,-0.328,1.098
-0.152,-0.324,1.07
-0.141,-0.32,1.047
-0.129,-0.301,1.023
-0.141,-0.277,1.004
-0.152,-0.266,1.023
-0.148,-0.258,1.051
-0.137,-0.258,1.051
-0.129,-0.262,1.051
-0.121,-0.258,1.055
-0.125,-0.27,1.086
-0.121,-0.266,1.094
-0.105,-0.262,1.105
-0.117,-0.262,1.117
-0.121,-0.254,1.105
-0.105,-0.242,1.074
-0.094,-0.242,1.074
-0.09,-0.238,1.07
-0.078,-0.223,1.059
-0.066,-0.223,1.07
-0.063,-0.227,1.039
-0.035,-0.227,1.051
