------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format dd/MM/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F25160319
Start Time 15:43:00
Start Date 06/04/2021
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:59:38
Download Date 06/04/2021
Current Memory Address: 0
Current Battery Voltage: 4.13     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.016,-0.23,1.102
0.027,-0.211,1.109
0.02,-0.191,1.109
0.031,-0.203,1.121
0.039,-0.211,1.105
0.043,-0.238,1.102
0.031,-0.266,1.094
-0.004,-0.266,1.043
-0.047,-0.246,0.973
-0.074,-0.242,0.941
-0.043,-0.234,0.945
-0.004,-0.219,0.941
0,-0.227,0.941
0.012,-0.23,0.988
0.043,-0.184,1.047
0.07,-0.102,1.09
0.082,-0.113,1.086
0.066,-0.141,1.035
0.164,-0.125,1.074
0.242,-0.141,1.121
0.258,-0.238,1.215
0.172,-0.324,1.184
0.051,-0.324,1.109
0,-0.328,1.063
0.023,-0.332,1.098
0.016,-0.313,0.973
-0.016,-0.328,0.895
0.02,-0.387,0.895
0.047,-0.422,0.906
0.051,-0.426,0.934
0.063,-0.473,1.004
0.063,-0.535,0.93
0.066,-0.563,0.941
0.074,-0.625,0.84
0.105,-0.598,0.836
0.152,-0.672,0.906
0.129,-0.832,0.828
0.086,-0.945,0.715
0.082,-1.047,0.719
0.09,-1.211,0.797
0.098,-1.262,0.789
0.113,-1.18,0.672
0.063,-1.031,0.473
-0.078,-0.852,0.289
-0.102,-0.699,0.215
0.035,-0.715,0.414
0.23,-0.629,0.68
0.148,-0.512,0.605
-0.027,-0.922,0.531
-0.078,-0.969,0.391
-0.152,-1.047,0.262
-0.207,-1.109,0.184
-0.184,-1.094,0.176
-0.156,-1.043,0.191
-0.168,-1.023,0.188
-0.191,-0.969,0.188
-0.188,-0.883,0.25
-0.09,-0.844,0.27
-0.211,-0.859,0.07
-0.27,-0.824,0.02
-0.254,-0.832,0.07
-0.219,-0.852,0.141
-0.219,-0.895,0.195
-0.203,-0.91,0.223
-0.219,-0.895,0.199
-0.266,-0.945,0.191
-0.293,-0.961,0.188
-0.281,-0.945,0.199
-0.246,-0.906,0.219
-0.211,-0.863,0.23
-0.199,-0.883,0.25
-0.188,-0.918,0.273
-0.188,-0.91,0.258
-0.184,-0.922,0.242
-0.156,-0.91,0.223
-0.133,-0.844,0.172
-0.133,-0.789,0.133
-0.125,-0.766,0.113
-0.129,-0.723,0.086
-0.137,-0.676,0.078
-0.141,-0.668,0.086
-0.168,-0.68,0.082
-0.184,-0.691,0.066
-0.211,-0.695,0.059
-0.227,-0.699,0.039
-0.238,-0.625,-0.012
-0.203,-0.719,-0.016
-0.141,-0.801,0.055
-0.152,-0.789,0.141
-0.109,-0.879,0.184
-0.199,-1.109,0.211
-0.063,-0.828,0.613
0.133,-1.273,0.559
0.059,-1.395,0.32
0.113,-1.34,0.445
0.023,-1.18,0.301
-0.039,-0.871,0.289
-0.086,-0.59,0.363
-0.23,-0.531,0.391
-0.203,-0.418,0.488
-0.133,-0.316,0.527
0.059,-0.898,0.305
0.066,-1.004,0.082
0.242,-1.016,0.285
0.359,-1.207,0.43
0.465,-1.254,0.418
0.48,-1.352,0.348
0.398,-1.41,0.273
0.309,-1.371,0.313
0.277,-1.242,0.41
0.293,-1.043,0.629
0.145,-0.68,0.074
-0.32,-0.391,-0.547
-0.055,-0.367,-0.277
0.168,-0.676,0.105
0.234,-0.805,0.266
0.223,-0.75,0.289
0.238,-0.824,0.273
0.336,-1.02,0.273
0.461,-1.137,0.313
0.574,-1.117,0.336
0.715,-1.113,0.34
0.863,-1.211,0.363
0.977,-1.309,0.336
1.012,-1.332,0.195
1.02,-1.273,0.148
1.027,-1.207,0.172
1,-1.164,0.191
0.93,-1.055,0.215
0.891,-1,0.23
0.863,-1.039,0.227
0.848,-1.035,0.273
0.836,-0.988,0.309
0.785,-0.902,0.273
0.695,-0.781,0.152
0.68,-0.719,0.141
0.699,-0.723,0.113
0.719,-0.754,0.102
0.688,-0.746,0.109
0.645,-0.762,0.109
0.578,-0.824,0.086
0.508,-0.82,-0.012
0.453,-0.816,-0.074
0.512,-0.809,-0.098
0.621,-0.82,-0.109
0.699,-0.813,-0.141
0.695,-0.793,-0.16
0.668,-0.773,-0.199
0.547,-0.832,-0.25
0.367,-0.883,-0.242
0.234,-0.914,-0.164
0.203,-0.953,-0.09
0.25,-0.988,-0.055
0.289,-0.957,-0.07
0.332,-0.941,-0.109
0.398,-1.02,-0.164
0.266,-1.039,-0.336
0.176,-0.965,-0.445
0.176,-0.902,-0.473
0.129,-0.891,-0.434
0.074,-0.938,-0.387
0.078,-0.969,-0.32
0.113,-1.035,-0.363
0.109,-1.074,-0.418
0.102,-1.082,-0.441
0.07,-1.047,-0.398
0.047,-1.031,-0.336
0.059,-1.027,-0.305
0.047,-1.02,-0.301
0.059,-1.074,-0.344
0.109,-1.156,-0.402
0.133,-1.203,-0.469
0.102,-1.195,-0.598
0.125,-1.227,-0.734
0.172,-1.215,-0.809
0.129,-1.191,-0.781
0.039,-1.16,-0.672
-0.055,-1.164,-0.582
-0.125,-1.199,-0.523
-0.27,-1.254,-0.531
-0.383,-1.273,-0.586
-0.449,-1.254,-0.664
-0.48,-1.184,-0.723
-0.387,-1.094,-0.781
-0.461,-1.094,-0.57
-0.547,-1.02,-0.328
-0.609,-0.961,-0.301
-0.539,-1.008,-0.434
-0.406,-1.043,-0.43
-0.328,-1.191,-0.344
-0.262,-1.25,-0.469
-0.176,-0.973,-0.445
-0.168,-0.723,-0.238
-0.117,-0.547,-0.02
-0.141,-0.477,0.105
-0.23,-0.492,0.043
-0.297,-0.539,-0.078
-0.289,-0.629,-0.105
-0.246,-0.648,-0.086
-0.168,-0.625,0.027
-0.09,-0.57,0.148
-0.105,-0.539,0.262
-0.168,-0.543,0.336
-0.219,-0.598,0.422
-0.258,-0.676,0.516
-0.262,-0.637,0.586
-0.238,-0.578,0.703
-0.207,-0.555,0.805
-0.195,-0.555,0.742
-0.195,-0.574,0.582
-0.266,-0.68,0.516
-0.355,-0.805,0.496
-0.398,-0.883,0.492
-0.402,-0.91,0.5
-0.441,-1.02,0.484
-0.426,-0.996,0.406
-0.402,-0.914,0.352
-0.352,-0.836,0.344
-0.305,-0.789,0.363
-0.375,-0.828,0.422
-0.445,-0.867,0.492
-0.473,-0.895,0.559
-0.52,-0.926,0.594
-0.547,-0.945,0.578
-0.539,-0.883,0.559
-0.527,-0.809,0.531
-0.559,-0.832,0.445
-0.578,-0.824,0.371
-0.578,-0.789,0.367
-0.605,-0.816,0.457
-0.629,-0.805,0.52
-0.633,-0.793,0.508
-0.637,-0.801,0.48
-0.652,-0.789,0.43
-0.664,-0.762,0.309
-0.656,-0.746,0.172
-0.641,-0.742,0.051
-0.609,-0.766,0
-0.582,-0.789,0.059
-0.566,-0.805,0.168
-0.613,-0.84,0.359
-0.676,-0.844,0.52
-0.738,-0.883,0.605
-0.68,-0.785,0.559
-0.707,-0.754,0.492
-0.699,-0.727,0.426
-0.707,-0.707,0.387
-0.711,-0.719,0.477
-0.746,-0.727,0.582
-0.801,-0.758,0.711
-0.836,-0.762,0.793
-0.836,-0.762,0.797
-0.828,-0.781,0.711
-0.816,-0.785,0.574
-0.816,-0.813,0.418
-0.824,-0.832,0.234
-0.777,-0.813,0.031
-0.758,-0.797,-0.063
-0.785,-0.789,-0.063
-0.73,-0.773,-0.07
-0.465,-0.816,-0.098
-0.434,-0.863,-0.109
-0.43,-0.961,0.121
-0.402,-1.199,0.484
-0.348,-1.434,0.879
-0.281,-1.57,1.074
-0.23,-1.586,1.063
-0.203,-1.516,0.816
-0.215,-1.406,0.473
-0.164,-1.23,0.273
-0.07,-0.992,0.246
0.02,-0.746,0.254
0.047,-0.566,0.199
0.047,-0.465,0.02
-0.008,-0.43,-0.234
0,-0.43,-0.473
0.012,-0.406,-0.523
-0.031,-0.371,-0.457
-0.059,-0.383,-0.332
0.008,-0.469,-0.164
0.102,-0.566,-0.004
0.141,-0.672,0.301
0.031,-0.891,0.703
-0.176,-1.113,1.074
-0.348,-1.125,1.348
-0.387,-0.984,1.543
-0.449,-0.809,1.66
-0.469,-0.633,1.824
-0.297,-0.504,2.043
-0.148,-0.504,1.594
-0.129,-0.586,0.746
-0.27,-0.824,0.172
-0.277,-0.863,0.078
-0.273,-0.887,0.172
-0.359,-0.965,0.164
-0.449,-1.191,0.215
-0.359,-1.223,0.305
-0.313,-1.18,0.426
-0.348,-1.152,0.527
-0.297,-1.16,0.648
-0.305,-1.285,0.648
-0.344,-1.352,0.555
-0.398,-1.352,0.441
-0.387,-1.203,0.371
-0.309,-0.867,0.512
-0.387,-0.844,0.66
-0.434,-0.914,0.418
-0.41,-0.871,0.332
-0.391,-0.781,0.266
-0.422,-0.738,0.348
-0.484,-0.738,0.387
-0.496,-0.832,0.262
-0.449,-0.863,0.27
-0.484,-0.859,0.348
-0.566,-0.871,0.293
-0.637,-0.902,0.164
-0.684,-0.984,0
-0.68,-0.996,-0.129
-0.582,-0.934,-0.168
-0.527,-0.867,-0.094
-0.539,-0.852,-0.012
-0.609,-0.879,-0.027
-0.645,-0.91,-0.137
-0.586,-0.922,-0.285
-0.578,-0.953,-0.34
-0.582,-0.98,-0.348
-0.555,-1.012,-0.383
-0.551,-1.023,-0.43
-0.605,-0.98,-0.434
-0.602,-0.926,-0.418
-0.504,-0.805,-0.402
-0.473,-0.746,-0.402
-0.504,-0.781,-0.426
-0.523,-0.875,-0.469
-0.535,-0.969,-0.48
-0.555,-1.039,-0.551
-0.539,-1.043,-0.543
-0.504,-1.016,-0.414
-0.457,-0.977,-0.371
-0.402,-0.887,-0.344
-0.352,-0.848,-0.348
-0.367,-0.879,-0.398
-0.348,-0.883,-0.473
-0.363,-0.98,-0.605
-0.34,-0.996,-0.621
-0.316,-0.973,-0.617
-0.336,-0.977,-0.609
-0.344,-1,-0.539
-0.324,-0.945,-0.398
-0.285,-0.887,-0.223
-0.289,-0.895,-0.113
-0.324,-0.934,0.035
-0.367,-0.934,0.137
-0.406,-0.941,0.141
-0.438,-0.938,0.148
-0.438,-0.957,0.227
-0.449,-0.969,0.227
-0.438,-0.965,0.184
-0.426,-0.992,0.164
-0.422,-1.02,0.199
-0.434,-1.031,0.41
-0.457,-1.102,0.621
-0.5,-1.023,0.551
-0.527,-0.988,0.715
-0.516,-0.992,0.605
-0.516,-0.887,0.441
-0.434,-0.82,0.371
-0.391,-0.781,0.266
-0.363,-0.77,0.18
-0.375,-0.813,0.23
-0.336,-0.82,0.41
-0.305,-0.797,0.672
-0.332,-0.809,0.84
-0.492,-0.855,0.75
-0.547,-0.848,0.535
-0.484,-0.883,0.355
-0.48,-0.879,0.285
-0.492,-0.879,0.285
-0.488,-0.871,0.316
-0.488,-0.898,0.398
-0.535,-0.93,0.461
-0.57,-0.941,0.434
-0.578,-0.949,0.375
-0.586,-0.914,0.273
-0.598,-0.902,0.168
-0.59,-0.883,0.078
-0.582,-0.891,-0.008
-0.578,-0.883,-0.094
-0.594,-0.797,-0.156
-0.602,-0.742,-0.188
-0.598,-0.719,-0.234
-0.582,-0.68,-0.277
-0.59,-0.648,-0.273
-0.594,-0.652,-0.203
-0.668,-0.688,-0.027
-0.723,-0.711,0.16
-0.711,-0.699,0.258
-0.703,-0.691,0.258
-0.664,-0.688,0.184
-0.648,-0.684,0.113
-0.617,-0.668,0.043
-0.598,-0.641,-0.023
-0.609,-0.609,-0.066
-0.629,-0.586,-0.07
-0.676,-0.59,-0.043
-0.727,-0.613,0.02
-0.73,-0.617,0.066
-0.727,-0.613,0.066
-0.715,-0.598,0.051
-0.703,-0.594,0.063
-0.695,-0.617,0.09
-0.676,-0.637,0.094
-0.66,-0.652,0.105
-0.676,-0.668,0.117
-0.684,-0.664,0.121
-0.688,-0.645,0.086
-0.699,-0.641,0.031
-0.656,-0.637,-0.055
-0.621,-0.676,-0.121
-0.594,-0.719,-0.137
-0.555,-0.789,-0.125
-0.477,-0.844,-0.148
-0.395,-0.836,-0.223
-0.414,-0.883,-0.191
-0.414,-0.957,-0.051
-0.395,-1.02,0.059
-0.391,-1.066,0.082
-0.383,-1.09,0.078
-0.367,-1.074,0.082
-0.344,-1.098,0.07
-0.289,-1.109,0.086
-0.234,-1.141,0.168
-0.211,-1.199,0.273
-0.215,-1.254,0.336
-0.223,-1.297,0.32
-0.219,-1.336,0.281
-0.215,-1.348,0.25
-0.207,-1.324,0.254
-0.184,-1.305,0.27
-0.176,-1.266,0.297
-0.207,-1.254,0.402
-0.215,-1.254,0.555
-0.199,-1.23,0.656
-0.184,-1.195,0.629
-0.164,-1.125,0.566
-0.156,-1.113,0.5
-0.176,-1.078,0.457
-0.234,-1.074,0.395
-0.246,-1.047,0.313
-0.277,-1.027,0.258
-0.281,-1.008,0.145
-0.273,-0.945,0.086
-0.375,-0.973,0.219
-0.395,-1.031,0.246
-0.371,-0.977,0.215
-0.41,-0.988,0.188
-0.426,-0.965,0.184
-0.426,-0.918,0.227
-0.453,-0.887,0.234
-0.477,-0.863,0.223
-0.449,-0.781,0.152
-0.48,-0.711,0.066
-0.59,-0.805,0.035
-0.598,-0.813,-0.094
-0.586,-0.785,-0.227
-0.586,-0.785,-0.273
-0.598,-0.797,-0.262
-0.586,-0.824,-0.184
-0.594,-0.852,-0.063
-0.57,-0.859,0.141
-0.59,-0.871,0.352
-0.539,-0.875,0.539
-0.52,-0.887,0.617
-0.492,-0.906,0.699
-0.477,-0.902,0.758
-0.453,-0.93,0.805
-0.438,-0.961,0.871
-0.457,-1.016,0.914
-0.484,-1.051,0.887
-0.469,-1.063,0.82
-0.469,-1.055,0.75
-0.48,-1.051,0.699
-0.473,-1.016,0.648
-0.453,-0.969,0.605
-0.434,-0.922,0.578
-0.387,-0.891,0.539
-0.352,-0.863,0.492
-0.32,-0.793,0.457
-0.289,-0.746,0.414
-0.285,-0.746,0.418
-0.32,-0.77,0.469
-0.391,-0.844,0.617
-0.434,-0.859,0.746
-0.379,-0.84,0.777
-0.352,-0.809,0.742
-0.293,-0.789,0.676
-0.262,-0.762,0.613
-0.238,-0.734,0.578
-0.219,-0.723,0.527
-0.234,-0.73,0.473
-0.254,-0.77,0.391
-0.254,-0.813,0.305
-0.285,-0.863,0.281
-0.32,-0.898,0.313
-0.336,-0.902,0.391
-0.34,-0.859,0.43
-0.328,-0.805,0.449
-0.305,-0.746,0.453
-0.281,-0.695,0.461
-0.281,-0.691,0.484
-0.254,-0.672,0.484
-0.207,-0.66,0.52
-0.23,-0.703,0.656
-0.254,-0.758,0.785
-0.211,-0.754,0.863
-0.195,-0.754,0.875
-0.18,-0.711,0.797
-0.145,-0.66,0.699
-0.105,-0.621,0.613
-0.09,-0.629,0.602
-0.078,-0.652,0.637
-0.117,-0.711,0.734
-0.191,-0.793,0.855
-0.211,-0.801,0.965
-0.184,-0.785,1
-0.109,-0.719,1.004
-0.039,-0.66,1.008
-0.008,-0.648,0.957
0.02,-0.672,0.797
-0.098,-0.746,0.629
-0.305,-0.84,0.512
-0.316,-0.883,0.5
-0.309,-0.879,0.563
-0.285,-0.797,0.59
-0.23,-0.672,0.555
-0.227,-0.57,0.57
-0.254,-0.535,0.637
-0.273,-0.531,0.723
-0.375,-0.582,0.656
-0.418,-0.613,0.613
-0.516,-0.68,0.578
-0.574,-0.75,0.551
-0.547,-0.789,0.574
-0.488,-0.836,0.609
-0.48,-0.902,0.625
-0.52,-0.969,0.656
-0.574,-1.02,0.703
-0.582,-1.027,0.664
-0.594,-1.031,0.645
-0.637,-1.07,0.656
-0.625,-1.078,0.664
-0.574,-1.023,0.621
-0.504,-0.945,0.559
-0.426,-0.871,0.496
-0.352,-0.773,0.438
-0.313,-0.711,0.387
-0.309,-0.695,0.332
-0.371,-0.707,0.289
-0.438,-0.723,0.25
-0.488,-0.707,0.203
-0.535,-0.68,0.184
-0.574,-0.66,0.207
-0.574,-0.633,0.199
-0.555,-0.59,0.129
-0.563,-0.586,0.055
-0.59,-0.613,-0.023
-0.629,-0.648,-0.074
-0.645,-0.68,-0.086
-0.664,-0.73,-0.066
-0.668,-0.789,-0.016
-0.672,-0.836,0.063
-0.684,-0.859,0.113
-0.703,-0.859,0.129
-0.688,-0.848,0.117
-0.656,-0.836,0.074
-0.641,-0.84,0.031
-0.598,-0.848,0.008
-0.555,-0.875,0.012
-0.523,-0.918,0.035
-0.504,-0.957,0.078
-0.48,-0.973,0.117
-0.473,-0.961,0.141
-0.492,-0.953,0.148
-0.492,-0.945,0.156
-0.449,-0.918,0.141
-0.43,-0.895,0.098
-0.449,-0.902,0.09
-0.465,-0.957,0.102
-0.48,-1.016,0.125
-0.512,-1.063,0.152
-0.516,-1.078,0.16
-0.508,-1.082,0.168
-0.492,-1.066,0.152
-0.473,-1.039,0.121
-0.461,-1.02,0.109
-0.441,-1.004,0.082
-0.434,-0.996,0.066
-0.418,-0.977,0.047
-0.41,-0.941,0.023
-0.43,-0.914,0.023
-0.484,-0.906,0.074
-0.465,-0.879,0.074
-0.461,-0.852,0.082
-0.504,-0.848,0.09
-0.512,-0.832,0.098
-0.477,-0.816,0.125
-0.496,-0.82,0.133
-0.516,-0.84,0.121
-0.512,-0.855,0.105
-0.535,-0.871,0.113
-0.563,-0.883,0.145
-0.563,-0.887,0.207
-0.555,-0.887,0.242
-0.543,-0.879,0.262
-0.551,-0.879,0.246
-0.527,-0.898,0.211
-0.508,-0.918,0.156
-0.512,-0.918,0.152
-0.504,-0.918,0.152
-0.488,-0.906,0.137
-0.477,-0.883,0.117
-0.508,-0.875,0.094
-0.527,-0.859,0.082
-0.492,-0.828,0.098
-0.473,-0.781,0.141
-0.5,-0.762,0.176
-0.535,-0.762,0.191
-0.578,-0.758,0.18
-0.598,-0.742,0.191
-0.613,-0.727,0.211
-0.578,-0.695,0.223
-0.539,-0.648,0.223
-0.59,-0.688,0.207
-0.617,-0.719,0.195
-0.629,-0.754,0.145
-0.629,-0.82,0.133
-0.633,-0.898,0.145
-0.621,-0.945,0.105
-0.574,-0.941,0.172
-0.543,-0.93,0.207
-0.52,-0.902,0.258
-0.516,-0.902,0.301
-0.508,-0.875,0.34
-0.535,-0.871,0.367
-0.551,-0.879,0.383
-0.559,-0.875,0.391
-0.563,-0.879,0.398
-0.551,-0.887,0.406
-0.531,-0.871,0.414
-0.563,-0.844,0.438
-0.59,-0.824,0.457
-0.582,-0.785,0.445
-0.574,-0.75,0.402
-0.566,-0.703,0.355
-0.543,-0.637,0.293
-0.5,-0.582,0.262
-0.453,-0.531,0.223
-0.414,-0.469,0.211
-0.449,-0.488,0.207
-0.516,-0.535,0.203
-0.539,-0.563,0.184
-0.535,-0.539,0.16
-0.496,-0.473,0.125
-0.426,-0.383,0.066
-0.344,-0.316,0.016
-0.238,-0.258,0.016
-0.203,-0.285,0.059
-0.219,-0.391,0.051
-0.254,-0.563,-0.016
-0.305,-0.723,-0.109
-0.313,-0.816,-0.203
-0.27,-0.836,-0.273
-0.219,-0.813,-0.297
-0.133,-0.773,-0.254
-0.063,-0.762,-0.184
-0.039,-0.82,-0.113
-0.051,-0.973,-0.039
-0.094,-1.156,-0.047
-0.074,-1.27,-0.074
-0.047,-1.352,-0.09
-0.027,-1.422,-0.051
-0.035,-1.555,0.051
-0.094,-1.746,0.051
-0.199,-1.965,0.285
-0.422,-2.188,0.547
-0.645,-2.363,0.738
-0.785,-2.469,0.754
-0.848,-2.613,0.535
-0.82,-2.602,0.207
-0.77,-2.398,-0.094
-0.672,-2.148,-0.262
-0.586,-1.93,-0.215
-0.492,-1.73,-0.047
-0.398,-1.543,0.16
-0.305,-1.391,0.324
-0.207,-1.246,0.449
-0.098,-1.082,0.488
-0.016,-0.887,0.418
0.176,-0.648,0.434
0.289,-0.473,0.531
0.211,-0.438,0.656
0.098,-0.484,0.809
0.125,-0.48,0.973
0.313,-0.363,1.18
0.383,-0.266,1.359
0.359,-0.203,1.387
0.324,-0.191,1.34
0.316,-0.234,1.297
0.336,-0.281,1.273
0.344,-0.316,1.238
0.34,-0.352,1.199
0.309,-0.469,1.168
0.207,-0.586,1.094
0.203,-0.59,1.098
0.16,-0.754,0.918
0.117,-0.973,0.695
0.008,-1.262,0.539
-0.129,-1.344,0.344
-0.172,-1.383,0.414
-0.188,-1.398,0.281
-0.242,-1.344,0.254
-0.332,-1.313,0.336
-0.391,-1.285,0.484
-0.414,-1.301,0.609
-0.434,-1.277,0.625
-0.449,-1.227,0.551
-0.434,-1.145,0.516
-0.41,-1.066,0.492
-0.383,-1.027,0.418
-0.359,-1.02,0.32
-0.316,-1.063,0.316
-0.32,-1.102,0.313
-0.344,-1.168,0.223
-0.352,-1.172,0.129
-0.348,-1.121,0.141
-0.375,-1.063,0.246
-0.426,-1.043,0.391
-0.383,-1.031,0.477
-0.32,-1.02,0.5
-0.281,-1.055,0.492
-0.25,-1.047,0.449
-0.242,-0.945,0.371
-0.254,-0.867,0.34
-0.305,-0.863,0.344
-0.328,-0.863,0.336
-0.313,-0.855,0.313
-0.27,-0.793,0.367
